Z,dT,I,time
-0.0060458578303502885,0.030937910079956055,0.0,1749983809.042587
-0.006348445920583928,0.016392230987548828,0.0,1749983809.0646708
-0.006348445920583928,0.015387296676635742,0.0,1749983809.0864284
-0.006054280300617778,0.015488862991333008,0.0,1749983809.1078987
-0.006054280300617778,0.015488862991333008,0.0,1749983809.13029
-0.006768480905180655,0.024518489837646484,0.0,1749983809.1518922
-0.006351278086141292,0.013696432113647461,0.0,1749983809.1745927
-0.006351278086141292,0.014281034469604492,0.0,1749983809.1956882
-0.006914785996832965,0.013215780258178711,0.0,1749983809.218386
-0.006788807136555665,0.014968156814575195,0.0,1749983809.2399795
-0.0062082382451210585,0.016439437866210938,0.0,1749983809.2611442
-0.006351278086141292,0.01428365707397461,0.0,1749983809.2842035
-0.006780311014548247,0.014066696166992188,0.0,1749983809.3060534
-0.006511256894076384,0.013759136199951172,0.0,1749983809.3277385
-0.006426409317010046,0.022742033004760742,0.0,1749983809.349976
-0.006561021748321931,0.013941526412963867,0.0,1749983809.3724115
-0.0065726949525788374,0.013591527938842773,0.0,1749983809.3940642
-0.00627791440267021,0.014971256256103516,0.0,1749983809.4159927
-0.005856633582572225,0.015190362930297852,0.0,1749983809.4370866
-0.005856633582572225,0.019586563110351562,0.0,1749983809.4599779
-0.00627791440267021,0.014175176620483398,0.0,1749983809.4812398
-0.006041779310998316,0.015544652938842773,0.0,1749983809.502215
-0.0057553969927954755,0.013346433639526367,0.0,1749983809.5246146
-0.005471021509435773,0.01787090301513672,0.0,1749983809.5465944
-0.00567905926410356,0.01965498924255371,0.0,1749983809.5685773
-0.005376318669907008,0.014486551284790039,0.0,1749983809.5910614
-0.005687245070542543,0.014452457427978516,0.0,1749983809.6124167
-0.005687245070542543,0.014452457427978516,0.0,1749983809.634389
-0.0058304414834764225,0.019105911254882812,0.0,1749983809.6562414
-0.0054030115961093955,0.014111995697021484,0.0,1749983809.6792674
-0.0056897937369611105,0.015600442886352539,0.0,1749983809.7009482
-0.0050998488403765745,0.014470815658569336,0.0,1749983809.723724
